时间：2019/8/14 10:13:48 位置： 类型：info  信息： System Start！
时间：2019/8/14 10:13:49 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:13:55 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:15 位置： 类型：info  信息：System Start！
时间：2019/8/14 10:14:16 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:33 位置： 类型：info  信息：System Start！
时间：2019/8/14 10:14:33 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:39 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:45 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:51 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:14:57 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:15:03 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:15:09 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:15:15 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:17:07 位置： 类型：info  信息：System Start！
时间：2019/8/14 10:17:08 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:17:14 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 10:17:20 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:45:20 位置： 类型：info  信息：System Start！
时间：2019/8/14 14:45:21 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:05 位置： 类型：info  信息：System Start！
时间：2019/8/14 14:46:06 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:12 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:18 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:24 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:28 位置： 类型：info  信息：保存配置成功！
时间：2019/8/14 14:46:30 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:36 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:46:42 位置： 类型：error  信息：SAIC1Network connection failed
时间：2019/8/14 14:47:03 位置： 类型：info  信息：系统开启！
时间：2019/8/14 14:47:04 位置： 类型：error  信息：SAIC1Network connection failed
