时间：2019/9/11 13:16:03 位置： 类型：info  信息： 系统开启！
时间：2019/9/11 13:17:04 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 13:21:38 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:22:08 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:22:19 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:22:29 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:22:29 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 13:22:39 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:22:54 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:23:24 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:23:34 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:23:44 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:23:44 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 13:23:55 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:25:33 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:26:03 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:26:13 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:26:23 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:26:23 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 13:26:34 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:26:59 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:27:29 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:27:39 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:27:49 位置： 类型：info  信息： PLC business processing problems, abnormal information：序列不包含任何匹配元素
时间：2019/9/11 13:27:49 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 13:28:21 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:30:51 位置： 类型：info  信息：系统开启！
时间：2019/9/11 13:31:55 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/11 15:53:05 位置： 类型：info  信息：系统开启！
时间：2019/9/11 15:53:55 位置： 类型：info  信息：SAIC1 PLC connection succeeded
