时间：2019/11/14 13:21:04 位置： 类型：info  信息： 系统开启！
时间：2019/11/14 13:21:12 位置： 类型：info  信息：save config success！
时间：2019/11/14 13:22:24 位置： 类型：info  信息：System Start！
时间：2019/11/14 15:09:32 位置： 类型：info  信息：System Start！
时间：2019/11/14 15:27:52 位置： 类型：info  信息：System Start！
时间：2019/11/14 15:49:01 位置： 类型：info  信息：System Start！
时间：2019/11/14 15:50:11 位置： 类型：info  信息：System Start！
时间：2019/11/14 15:51:42 位置： 类型：info  信息：SAIC PLC connection succeeded
时间：2019/11/14 16:01:00 位置： 类型：info  信息：System Start！
时间：2019/11/14 16:02:31 位置： 类型：info  信息：SAIC PLC connection succeeded
时间：2019/11/14 16:11:44 位置： 类型：info  信息：System Start！
时间：2019/11/14 16:13:26 位置： 类型：info  信息：SAIC PLC connection succeeded
时间：2019/11/14 16:35:14 位置： 类型：info  信息：System Start！
时间：2019/11/14 16:36:45 位置： 类型：info  信息：SAIC PLC connection succeeded
