时间：2019/9/5 8:47:07 位置： 类型：info  信息： 系统开启！
时间：2019/9/5 8:47:08 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:14 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:20 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:26 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:32 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:38 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:44 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:50 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:47:56 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:02 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:08 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:14 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:20 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:25 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:31 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:37 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:43 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:49 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:48:55 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:49:01 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:49:07 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:49:13 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:49:41 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:51:12 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:51:18 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:51:24 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:51:30 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:56:03 位置： 类型：info  信息：系统开启！
时间：2019/9/5 8:56:04 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:56:14 位置： 类型：info  信息：系统开启！
时间：2019/9/5 8:56:15 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:56:21 位置： 类型：error  信息：SAIC1 Network connection failed
时间：2019/9/5 8:57:39 位置： 类型：info  信息：系统开启！
时间：2019/9/5 8:58:40 位置： 类型：info  信息：SAIC1 PLC connection succeeded
