时间：2019/9/6 10:41:41 位置： 类型：info  信息： 系统开启！
时间：2019/9/6 10:43:44 位置： 类型：info  信息：系统开启！
时间：2019/9/6 10:46:31 位置： 类型：info  信息：系统开启！
时间：2019/9/6 10:48:02 位置： 类型：info  信息：系统开启！
时间：2019/9/6 10:48:40 位置： 类型：info  信息：系统开启！
时间：2019/9/6 10:49:58 位置： 类型：info  信息：系统开启！
时间：2019/9/6 13:20:54 位置： 类型：info  信息：系统开启！
时间：2019/9/6 13:25:49 位置： 类型：info  信息：系统开启！
时间：2019/9/6 13:46:58 位置： 类型：info  信息：系统开启！
时间：2019/9/6 13:49:26 位置： 类型：info  信息：系统开启！
时间：2019/9/6 13:50:26 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:02:10 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:03:43 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:05:57 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:07:45 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:09:32 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:12:40 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:13:41 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:23:35 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:27:13 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:30:13 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:31:41 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:32:47 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:40:57 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:42:25 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:50:39 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:51:55 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:55:09 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 14:56:30 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:57:42 位置： 类型：info  信息：系统开启！
时间：2019/9/6 14:58:50 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/6 15:02:53 位置： 类型：info  信息：系统开启！
时间：2019/9/6 15:03:54 位置： 类型：info  信息：SAIC1 PLC connection succeeded
