时间：2019/10/8 15:10:54 位置： 类型：info  信息： 系统开启！
时间：2019/10/8 15:12:25 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/10/8 15:22:28 位置： 类型：info  信息：System Start！
时间：2019/10/8 15:23:58 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/10/8 15:34:20 位置： 类型：info  信息：System Start！
时间：2019/10/8 15:38:21 位置： 类型：info  信息：System Start！
时间：2019/10/8 15:39:52 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/10/8 15:44:20 位置： 类型：info  信息：System Start！
时间：2019/10/8 15:54:57 位置： 类型：info  信息：System Start！
