时间：2019/9/13 8:57:55 位置： 类型：info  信息： 系统开启！
时间：2019/9/13 8:58:46 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/13 9:02:08 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:03:19 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:04:33 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:05:05 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:06:29 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:07:26 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:08:03 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:09:22 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:11:27 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:12:42 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:13:33 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/13 9:18:22 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:19:06 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:19:41 位置： 类型：info  信息：系统开启！
时间：2019/9/13 9:24:39 位置： 类型：info  信息：系统开启！
时间：2019/9/13 17:03:53 位置： 类型：info  信息：系统开启！
时间：2019/9/13 17:04:43 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/13 17:17:06 位置： 类型：info  信息：系统开启！
时间：2019/9/13 17:17:56 位置： 类型：info  信息：SAIC1 PLC connection succeeded
