时间：2019/10/10 13:10:12 位置： 类型：info  信息： 系统开启！
时间：2019/10/10 13:13:01 位置： 类型：info  信息：系统开启！
时间：2019/10/10 13:13:02 位置： 类型：error  信息：SAIC Network connection failed
时间：2019/10/10 13:13:08 位置： 类型：error  信息：SAIC Network connection failed
时间：2019/10/10 13:13:08 位置： 类型：error  信息：SAIC Failed to start, try to link again after 10 seconds！在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
时间：2019/10/10 13:14:07 位置： 类型：info  信息：系统开启！
时间：2019/10/10 13:15:11 位置： 类型：info  信息：系统开启！
时间：2019/10/10 13:27:37 位置： 类型：info  信息：系统开启！
时间：2019/10/10 13:28:21 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:29:12 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:29:58 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:30:27 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:32:42 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:33:11 位置： 类型：info  信息：保存配置成功！
时间：2019/10/10 13:33:57 位置： 类型：info  信息：系统开启！
时间：2019/10/10 13:34:08 位置： 类型：info  信息：save config success！
时间：2019/10/10 13:34:53 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:36:31 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:37:04 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:37:39 位置： 类型：info  信息：System Start！
时间：2019/10/10 13:37:59 位置： 类型：info  信息：保存配置成功！
时间：2019/10/10 14:08:42 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:10:14 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:12:43 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:13:48 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:20:36 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:44:53 位置： 类型：info  信息：系统开启！
时间：2019/10/10 14:45:25 位置： 类型：info  信息：System Start！
时间：2019/10/10 14:52:59 位置： 类型：info  信息：系统开启！
时间：2019/10/10 15:41:57 位置： 类型：info  信息：系统开启！
时间：2019/10/10 16:01:38 位置： 类型：info  信息：系统开启！
时间：2019/10/10 16:14:08 位置： 类型：info  信息：系统开启！
时间：2019/10/10 16:21:07 位置： 类型：info  信息：系统开启！
时间：2019/10/10 16:27:10 位置： 类型：info  信息：系统开启！
