时间：2019/8/12 11:24:31 位置： 类型：info  信息： System Start！
时间：2019/8/12 11:25:01 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 11:25:11 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 11:26:34 位置： 类型：info  信息：System Start！
时间：2019/8/12 11:26:59 位置： 类型：info  信息：System Start！
时间：2019/8/12 11:27:30 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 11:27:40 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 11:27:50 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[6] , 收到值：0
时间：2019/8/12 11:28:00 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 11:28:00 位置： 类型：info  信息：SAIC1 PLC连接成功
时间：2019/8/12 11:28:10 位置：SAIC1OP0020 类型：info  信息：地址：SystemAlarm[4] , 收到值：0
时间：2019/8/12 11:30:33 位置： 类型：info  信息：System Start！
时间：2019/8/12 11:59:52 位置： 类型：info  信息：System Start！
时间：2019/8/12 12:00:22 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 12:00:32 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 12:00:43 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[6] , 收到值：0
时间：2019/8/12 12:00:53 位置： 类型：info  信息：SAIC1 PLC连接成功
时间：2019/8/12 12:00:53 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 12:01:03 位置：SAIC1OP0020 类型：info  信息：地址：SystemAlarm[4] , 收到值：0
时间：2019/8/12 12:08:22 位置： 类型：info  信息：System Start！
时间：2019/8/12 13:55:25 位置： 类型：info  信息：System Start！
时间：2019/8/12 13:55:55 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:07:28 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:07:59 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:09:15 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:10:52 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:11:22 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:12:46 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:13:53 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:14:23 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:15:28 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:19:19 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:20:32 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:21:09 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:21:47 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:28:10 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:29:37 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:30:16 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:30:23 位置： 类型：info  信息：保存配置成功！
时间：2019/8/12 15:32:11 位置： 类型：info  信息：系统开启！
时间：2019/8/12 15:32:30 位置： 类型：info  信息：save config success！
时间：2019/8/12 15:32:42 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:55:30 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:56:03 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:57:13 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:57:45 位置： 类型：info  信息：System Start！
时间：2019/8/12 15:58:00 位置： 类型：info  信息：保存配置成功！
时间：2019/8/12 15:58:15 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 15:59:26 位置： 类型：info  信息：系统开启！
时间：2019/8/12 15:59:56 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:00:06 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:13:41 位置： 类型：info  信息：系统开启！
时间：2019/8/12 16:13:57 位置： 类型：info  信息：save config success！
时间：2019/8/12 16:14:11 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:14:22 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:14:32 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[6] , 收到值：0
时间：2019/8/12 16:14:42 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:14:42 位置： 类型：info  信息：SAIC1 PLC连接成功
时间：2019/8/12 16:37:22 位置： 类型：info  信息：System Start！
时间：2019/8/12 16:39:16 位置： 类型：info  信息：System Start！
时间：2019/8/12 16:40:19 位置： 类型：info  信息：System Start！
时间：2019/8/12 16:41:19 位置： 类型：info  信息：System Start！
时间：2019/8/12 16:41:49 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:41:59 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:42:09 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[6] , 收到值：0
时间：2019/8/12 16:42:19 位置： 类型：info  信息：SAIC1 PLC连接成功
时间：2019/8/12 16:42:19 位置：SAIC1OP0010 类型：info  信息：地址：SystemAlarm[8] , 收到值：0
时间：2019/8/12 16:42:29 位置：SAIC1OP0020 类型：info  信息：地址：SystemAlarm[4] , 收到值：0
时间：2019/8/12 16:43:58 位置： 类型：error  信息：SAIC1写心跳位错误:无法访问已释放的对象。
对象名:“MainForm”。
时间：2019/8/12 16:43:58 位置： 类型：info  信息：SAIC1 连接断开，正在尝试重连...
时间：2019/8/12 16:48:02 位置： 类型：info  信息：System Start！
时间：2019/8/12 16:48:03 位置： 类型：error  信息：SAIC1网络连接失败
时间：2019/8/12 16:48:09 位置： 类型：error  信息：SAIC1网络连接失败
时间：2019/8/12 16:48:15 位置： 类型：error  信息：SAIC1网络连接失败
时间：2019/8/12 16:48:21 位置： 类型：error  信息：SAIC1网络连接失败
